"Reference","Value","Footprint","Qty","DNP","Mouser"
"A1","Arduino_Nano_33_IoT_Socket","Arduinos:Arduino_Nano_33_IoT_Socket","1","",""
"C1,C2,C3,C6,C8","0.1uF","K104K10X7RF53H5:K104K10X7RF53H5_VIS","5","","594-K104K10X7RF53H5"
"C4","470pF","K471K10X7RF5UH5:K471K10X7RF5UH5_VIS","1","","594-K471K10X7RF5UH5"
"C5","4700pF","C410C472K1R5TA:CAP_C410C_AX_X7R_AXIMAX_KEM","1","","80-C410C472K1R"
"C7,Cc1,Cc2,Cc3,Cc4","1uF","K105K20X7RF5TH5:K105K20X7RF5TH5_VIS","5","","594-K105K20X7RF5TH5"
"C9","4.7uF","FG24X7R1E475KRT06:CAP_FG24_TDK","1","","810-FG24X7R1E475KRT6"
"Cf1","2.2uF","FG18X5R1E225KRT06:CAP_FG18_TDK","1","","810-FG18X5R1E225KRT6"
"D1,D2","D","Custom Footprints:1N4149TR","2","","512-1N4149"
"D3","TVS Diode 17.1V","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","1","","576-P4KE20A"
"H1","BATT+","Custom Footprints:Power Connection Pads","1","",""
"H2","BATT-","Custom Footprints:Power Connection Pads","1","",""
"H7","PACK+","Custom Footprints:Power Connection Pads","1","",""
"H8","PACK-","Custom Footprints:Power Connection Pads","1","",""
"J1","EBWA-04-A","Custom Footprints:EBWA-04-A","1","","737-EBWA-04-A"
"Q1,Q3","NMOS","Custom Footprints:IRLB4132PBF","2","","942-IRLB4132PBF"
"Q2","PMOS","Custom Footprints:TO-92_MC_MCH","1","","689-VP3203N3-G"
"R1,R3,Rf1","100","RNF14FTD100R:STA_RNF14_STP","3","","708-RNF14FTD100R"
"R2","8m","14AFR008E:RES_14A_OHM","1","","588-14AFR008E"
"R4","499k","MFR-25FBF52-499K:YAG_MF25_YAG","1","","603-MFR-25FBF52-499K"
"R5,R6,Rd1,Rd2","10k","RNF18FTD10K0:STA_RNF18_STP","4","","708-RNF18FTD10K0"
"R7,R8","1M","MFR-25FRF52-1M:YAG_MF25_YAG","2","","603-MFR-25FRF521M"
"Rc1,Rc2,Rc3,Rc4","50","CMF5550R000FKEK70:RES_CMF07_VIS","4","","71-CMF5550R000FKEK70"
"SW1","SW_Push","Custom Footprints:Switch Pads","1","",""
"SW2","SW_SPST","Custom Footprints:Switch Pads","1","",""
"U1","BQ7692003PW","BQ7692003PW:PW0020A_N","1","","595-BQ7692003PW"
