"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C6, C8, C10, C11","7","0.1μF","",""
"2","C4","1","470pF","",""
"3","C5","1","4700pF","",""
"4","C7, Cc1, Cc2, Cc3, Cc4","5","1μF","",""
"5","C9","1","4.7μF","",""
"6","CELL_1, CELL_2, CELL_3","3","~","",""
"7","Cf1","1","2.2μF","",""
"8","D1, D3","2","D","",""
"9","D2","1","TVS Diode 30V","",""
"10","Q1, Q3","2","NMOS","",""
"11","Q2","1","PMOS","",""
"12","R1, R3, Rf1","3","100Ω","",""
"13","R2","1","8mΩ","",""
"14","R4","1","500kΩ","",""
"15","R5, R6, Rd1, Rd2","4","10kΩ","",""
"16","R7, R8","2","1MΩ","",""
"17","Rc1, Rc2, Rc3, Rc4","4","50Ω","",""
"18","SW1","1","SW_Push","",""
"19","SW2","1","SW_SPST","",""
"20","U1","1","BQ7692003PW","BQ7692003PW:PW0020A_N",""
"21","U2","1","Arduino_Nano_v3.x","Arduinos:Arduino_Nano_33_IoT_Socket",""
